Orgname,placeInfo,logicaldevicecode,ReportDate,Category,Current BATCC,Previous BATCC,Current Actual Cost,Previous Actual Cost,Current CA,Previous CA,BeginDate,EnergyProgram,SalesDocName,PlaceId,invoiceitemid,invoiceitemname
Fresno USD-CA,Roosevelt HS (SOLAR),FFP_CA-15-0905,2025-10-01T00:00:00,New,8670.165,0,8841,0,-170.89,0,2025-09-30T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,1d252a1c-83d1-472d-b053-b7d5032e6b4d,a0wUi000003MzcbIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-10-01
Fresno USD-CA,Gibson ES,PGE_1737751797,2025-12-01T00:00:00,New,7484.8481,0,9114,0,-1629.34,0,2025-11-19T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,04c915dd-b40e-436d-a40d-7ff17ddecb84,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Early Learning Center,PGE_1310513317,2025-12-01T00:00:00,New,10490.6297,0,6912,0,3578.97,0,2025-11-19T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,8e5cf146-88a8-4de7-b193-cf87f68ec642,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Center for Prof. Devel. ,PGE_7533894706,2025-12-01T00:00:00,New,1515.4164,0,2387,0,-871.47,0,2025-11-13T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,d8bd856e-e5f4-49a7-934d-1601340a6bbb,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Bullard HS,PGE_1730246186,2025-12-01T00:00:00,New,1666.1185,0,940,0,726.06,0,2025-11-19T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,f98542d9-8990-4380-81eb-921fd409289f,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Hamilton School K-8,COF_1715-1654-W,2025-12-01T00:00:00,New,0,0,0,0,0,0,2025-11-24T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,17021c79-16bb-438c-bc9d-19313286dbf2,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Computech MS,COF_86413-84862-WS,2025-12-01T00:00:00,New,341.0169,0,478,0,-136.75,0,2025-11-17T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,20ad0604-eacb-4510-bb18-8766c29d0bba,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Gibson ES,COF_249787-218596-WS,2025-12-01T00:00:00,New,0,0,0,0,0,0,2025-11-26T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,04c915dd-b40e-436d-a40d-7ff17ddecb84,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Olmos ES (SOLAR),COF_277643-462540-IR,2025-12-01T00:00:00,New,0,0,0,0,0,0,2025-11-26T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,8453c871-36bf-434f-872d-902cf5cc3ba5,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Roeding ES,COF_50135-49194-IR,2025-12-01T00:00:00,New,0,0,0,0,0,0,2025-11-26T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,f06f2ac8-7462-40bc-a720-b190db49797a,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Kirk ES,PGE_2827878024,2025-12-01T00:00:00,New,2473.8504,0,5213,0,-2739.62,0,2025-11-21T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,7a5d7a61-973d-401c-9c31-8243ded43487,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Fulton School (Millbrook Admin),PGE_9089636881,2025-12-01T00:00:00,New,320.2888,0,415,0,-94.22,0,2025-11-19T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,7edb365f-bc7b-4f06-aaab-0273295961e7,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Williams ES (SOLAR),PGE_1732096328_PVGrid,2025-12-01T00:00:00,New,11405.0875,0,12253,0,-848.35,0,2025-11-19T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,7d65b7b4-317b-460e-86b8-9a71cd551c60,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Bullard HS,185469-182008-WS,2025-12-01T00:00:00,New,1593.204,0,2364,0,-770.53,0,2025-11-07T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,f98542d9-8990-4380-81eb-921fd409289f,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Lawless ES (SOLAR),PGE_5264837287,2025-12-01T00:00:00,New,2358.58,0,1299,0,1059.64,0,2025-11-12T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,9cf7e955-162f-4679-af4d-7733c0b33c58,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Sequoia MS (SOLAR),COF_139955-137374-IR,2025-10-01T00:00:00,New,3722.4895,0,2791,0,931.18,0,2025-09-29T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,13085edd-c316-4eb3-af5d-a631c3c2af4b,a0wUi000003MzcbIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-10-01
Fresno USD-CA,Sequoia MS (SOLAR),COF_139955-137374-WS,2025-10-01T00:00:00,New,683.8324,0,428,0,255.4,0,2025-09-29T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,13085edd-c316-4eb3-af5d-a631c3c2af4b,a0wUi000003MzcbIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-10-01
Fresno USD-CA,Roosevelt HS (SOLAR),FFP_CA-15-0905,2025-11-01T00:00:00,New,6416.1763,0,4581,0,1835.32,0,2025-10-31T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,1d252a1c-83d1-472d-b053-b7d5032e6b4d,a0wUi000003MzeDIAS,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-11-01
Fresno USD-CA,Birney ES (SOLAR),PGE_7979526753,2025-11-01T00:00:00,New,3011.5272,0,2680,0,331.11,0,2025-10-31T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,81d6b29d-1c89-48ca-b725-b8785f2a04a6,a0wUi000003MzeDIAS,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-11-01
Fresno USD-CA,Sunset ES,PGE_1731247611,2025-12-01T00:00:00,New,6851.3958,0,6459,0,392.77,0,2025-11-19T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,555794dc-eab7-4416-8ebb-fff51eea90d7,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Baird School 5-8,PGE_9087480971,2025-12-01T00:00:00,New,7530.285,0,3031,0,4499.29,0,2025-12-02T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,42f67f58-e70a-4381-93b8-44efdfc373dc,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Sunnyside HS (SOLAR),COF_346661-316756-IR,2025-12-01T00:00:00,New,0,0,0,0,0,0,2025-11-26T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,e9985868-7412-4221-a46d-46b928c8f43d,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Wolters ES,PGE_0004900244,2025-12-01T00:00:00,New,4111.605,0,962,0,3149.14,0,2025-11-30T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,cfd61202-51ee-4780-b85c-05a6eae9ae86,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Muir ES,PGE_9089636388,2025-12-01T00:00:00,New,14571.8719,0,12111,0,2460.83,0,2025-11-19T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,2a94f479-090f-4ef4-bde4-97ad543db28a,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
Fresno USD-CA,Fresno HS (SOLAR),PGE_8911723867,2025-12-01T00:00:00,New,9482.9931,0,2268,0,7215.26,0,2025-12-04T00:00:00,6ADA335E-6193-ED11-8164-000D3A7056C3,25-Dec,e59d5954-49eb-4dd0-93ff-ca2eb79b0b2b,a0wUi000003MzfpIAC,6ADA335E-6193-ED11-8164-000D3A7056C3 - December 2025 - 2025-12-01
